avg_home_value,City,Year,median_income
177847.00,Albion,2015,65202
191210.75,Albion,2016,70796
204175.25,Albion,2017,72268
215808.75,Albion,2018,71582
231179.50,Albion,2019,77504
245657.83,Albion,2020,75179
274174.42,Albion,2021,77221
295762.42,Albion,2022,84831
317938.08,Albion,2023,82838
335800.00,Albion,2024,90999
166542.83,Belleville,2015,65202
178403.83,Belleville,2016,70796
190766.00,Belleville,2017,72268
204367.75,Belleville,2018,71582
214440.50,Belleville,2019,77504
228434.33,Belleville,2020,75179
256668.17,Belleville,2021,77221
285612.58,Belleville,2022,84831
302186.08,Belleville,2023,82838
324998.17,Belleville,2024,90999
216506.83,Black Earth,2015,65202
230658.58,Black Earth,2016,70796
237778.58,Black Earth,2017,72268
250060.08,Black Earth,2018,71582
257734.83,Black Earth,2019,77504
272376.50,Black Earth,2020,75179
300483.58,Black Earth,2021,77221
327637.83,Black Earth,2022,84831
347734.42,Black Earth,2023,82838
358533.00,Black Earth,2024,90999
236810.00,Blue Mounds,2015,65202
251288.75,Blue Mounds,2016,70796
265444.83,Blue Mounds,2017,72268
279328.92,Blue Mounds,2018,71582
291813.58,Blue Mounds,2019,77504
309346.42,Blue Mounds,2020,75179
346600.17,Blue Mounds,2021,77221
382616.50,Blue Mounds,2022,84831
397365.08,Blue Mounds,2023,82838
417879.50,Blue Mounds,2024,90999
330630.42,Bristol,2015,65202
351579.42,Bristol,2016,70796
369580.33,Bristol,2017,72268
386092.92,Bristol,2018,71582
404655.50,Bristol,2019,77504
421761.17,Bristol,2020,75179
468256.58,Bristol,2021,77221
515854.75,Bristol,2022,84831
533901.17,Bristol,2023,82838
569022.08,Bristol,2024,90999
282776.75,Burke,2015,65202
302660.25,Burke,2016,70796
313026.42,Burke,2017,72268
321596.83,Burke,2018,71582
341451.25,Burke,2019,77504
363467.58,Burke,2020,75179
396971.00,Burke,2021,77221
424224.83,Burke,2022,84831
465018.83,Burke,2023,82838
504311.75,Burke,2024,90999
186323.75,Cambridge,2015,65202
198251.17,Cambridge,2016,70796
213061.92,Cambridge,2017,72268
224201.50,Cambridge,2018,71582
235122.83,Cambridge,2019,77504
246893.92,Cambridge,2020,75179
277259.67,Cambridge,2021,77221
303842.75,Cambridge,2022,84831
323714.42,Cambridge,2023,82838
340173.08,Cambridge,2024,90999
256552.75,Christiana,2015,65202
272090.17,Christiana,2016,70796
288795.42,Christiana,2017,72268
300664.17,Christiana,2018,71582
314485.83,Christiana,2019,77504
333834.42,Christiana,2020,75179
371782.83,Christiana,2021,77221
405018.50,Christiana,2022,84831
435868.17,Christiana,2023,82838
452090.33,Christiana,2024,90999
247712.25,Cottage Grove,2015,65202
260900.67,Cottage Grove,2016,70796
273156.67,Cottage Grove,2017,72268
286781.67,Cottage Grove,2018,71582
299654.75,Cottage Grove,2019,77504
316104.67,Cottage Grove,2020,75179
349041.33,Cottage Grove,2021,77221
382304.83,Cottage Grove,2022,84831
406301.08,Cottage Grove,2023,82838
434301.08,Cottage Grove,2024,90999
269595.33,Cross Plains,2015,65202
284091.58,Cross Plains,2016,70796
297763.92,Cross Plains,2017,72268
312826.08,Cross Plains,2018,71582
326185.33,Cross Plains,2019,77504
344105.08,Cross Plains,2020,75179
382494.67,Cross Plains,2021,77221
417056.83,Cross Plains,2022,84831
439067.00,Cross Plains,2023,82838
460874.42,Cross Plains,2024,90999
242994.75,Dane,2015,65202
258162.92,Dane,2016,70796
271152.17,Dane,2017,72268
283121.58,Dane,2018,71582
296033.17,Dane,2019,77504
313720.75,Dane,2020,75179
346420.83,Dane,2021,77221
383517.08,Dane,2022,84831
425932.42,Dane,2023,82838
456040.00,Dane,2024,90999
221407.75,De Forest,2015,65202
236647.25,De Forest,2016,70796
255303.67,De Forest,2017,72268
269744.17,De Forest,2018,71582
282486.83,De Forest,2019,77504
301860.50,De Forest,2020,75179
335632.08,De Forest,2021,77221
363644.00,De Forest,2022,84831
383828.58,De Forest,2023,82838
406421.17,De Forest,2024,90999
217777.92,Deerfield,2015,65202
227935.67,Deerfield,2016,70796
239928.33,Deerfield,2017,72268
251102.00,Deerfield,2018,71582
265972.17,Deerfield,2019,77504
285343.83,Deerfield,2020,75179
319963.50,Deerfield,2021,77221
347212.08,Deerfield,2022,84831
366769.67,Deerfield,2023,82838
384518.00,Deerfield,2024,90999
311949.82,Dunkirk,2016,70796
326177.00,Dunkirk,2017,72268
337344.00,Dunkirk,2018,71582
351560.58,Dunkirk,2019,77504
365297.00,Dunkirk,2020,75179
399669.33,Dunkirk,2021,77221
440467.33,Dunkirk,2022,84831
469243.08,Dunkirk,2023,82838
487413.92,Dunkirk,2024,90999
257709.33,Fitchburg,2015,65202
268223.17,Fitchburg,2016,70796
284394.50,Fitchburg,2017,72268
305311.42,Fitchburg,2018,71582
318404.25,Fitchburg,2019,77504
334503.58,Fitchburg,2020,75179
369691.42,Fitchburg,2021,77221
405337.92,Fitchburg,2022,84831
435601.92,Fitchburg,2023,82838
464068.67,Fitchburg,2024,90999
216353.75,Madison,2015,65202
232676.08,Madison,2016,70796
247490.33,Madison,2017,72268
262465.00,Madison,2018,71582
273139.50,Madison,2019,77504
289301.67,Madison,2020,75179
321745.08,Madison,2021,77221
352765.00,Madison,2022,84831
