state,year,median_income,mean_income
Alabama,2015,44765,62307
Alabama,2016,46257,64632
Alabama,2017,48123,66337
Alabama,2018,49861,69091
Alabama,2019,51734,71478
Alabama,2020,52035,71964
Alabama,2021,53913,75923
Alabama,2022,59674,82956
Alabama,2023,62212,85530
Alabama,2024,66659,90741
Alaska,2015,73355,92876
Alaska,2016,76440,93312
Alaska,2017,73181,92674
Alaska,2018,74346,96080
Alaska,2019,75463,98504
Alaska,2020,77790,98811
Alaska,2021,77845,100519
Alaska,2022,88121,109524
Alaska,2023,86631,114201
Alaska,2024,95665,122082
Arizona,2015,51492,70638
Arizona,2016,53558,74053
Arizona,2017,56581,77451
Arizona,2018,59246,80477
Arizona,2019,62055,84438
Arizona,2020,61529,84380
Arizona,2021,69056,93177
Arizona,2022,74568,101316
Arizona,2023,77315,104620
Arizona,2024,81486,110522
Arkansas,2015,41995,59275
Arkansas,2016,44334,61167
Arkansas,2017,45869,63560
Arkansas,2018,47062,66766
Arkansas,2019,48952,68219
Arkansas,2020,49475,69357
Arkansas,2021,52528,73126
Arkansas,2022,55432,76853
Arkansas,2023,58700,81056
Arkansas,2024,62106,85474
California,2015,64500,91757
California,2016,67739,96961
California,2017,71805,101761
California,2018,75277,107384
California,2019,80440,113563
California,2020,78672,111622
California,2021,84907,120953
California,2022,91551,131504
California,2023,95521,134491
California,2024,100149,140112
Colorado,2015,63909,85915
Colorado,2016,65685,88246
Colorado,2017,69117,92465
Colorado,2018,71953,96218
Colorado,2019,77127,103518
Colorado,2020,75231,100933
Colorado,2021,82254,110650
Colorado,2022,89302,119039
Colorado,2023,92911,124578
Colorado,2024,97113,131072
Connecticut,2015,71346,101347
Connecticut,2016,73433,105255
Connecticut,2017,74168,107420
Connecticut,2018,76348,111303
Connecticut,2019,78833,114630
Connecticut,2020,79855,115337
Connecticut,2021,83771,120009
Connecticut,2022,88429,128160
Connecticut,2023,91665,131007
Connecticut,2024,96049,139313
Delaware,2015,61255,81120
Delaware,2016,61757,81349
Delaware,2017,62852,86577
Delaware,2018,64805,84896
Delaware,2019,70176,92445
Delaware,2020,69110,92308
Delaware,2021,71091,95633
Delaware,2022,82174,105438
Delaware,2023,81361,109486
Delaware,2024,87534,114291
District of Columbia,2015,75628,114600
District of Columbia,2016,75506,114432
District of Columbia,2017,82372,121095
District of Columbia,2018,85203,124946
District of Columbia,2019,92266,135369
District of Columbia,2020,90842,133587
District of Columbia,2021,90088,138856
District of Columbia,2022,101027,148872
District of Columbia,2023,108210,160752
District of Columbia,2024,109707,161107
Florida,2015,49426,70462
Florida,2016,50860,72784
Florida,2017,52594,76053
Florida,2018,55462,79968
Florida,2019,59227,83883
Florida,2020,57703,83104
Florida,2021,63062,89573
Florida,2022,69303,99349
Florida,2023,73311,103634
Florida,2024,77735,108835
Georgia,2015,51244,71555
Georgia,2016,53559,75363
Georgia,2017,56183,79157
Georgia,2018,58756,82489
Georgia,2019,61980,86468
Georgia,2020,61224,85691
Georgia,2021,66559,92425
Georgia,2022,72837,99863
Georgia,2023,74632,103146
Georgia,2024,79991,108907
Hawaii,2015,73486,92496
Hawaii,2016,74511,95904
Hawaii,2017,77765,98553
Hawaii,2018,80212,103162
Hawaii,2019,83102,106247
Hawaii,2020,83173,107348
Hawaii,2021,84857,111751
Hawaii,2022,92458,120969
Hawaii,2023,95322,124713
Hawaii,2024,100745,131862
Idaho,2015,48275,63921
Idaho,2016,51807,68006
Idaho,2017,52225,69958
Idaho,2018,55583,73369
Idaho,2019,60999,78975
Idaho,2020,58915,77399
Idaho,2021,66474,89955
Idaho,2022,72785,94503
Idaho,2023,74942,98653
Idaho,2024,81166,104073
Illinois,2015,59588,82699
Illinois,2016,60960,84561
Illinois,2017,62992,88160
Illinois,2018,65030,91424
Illinois,2019,69187,95725
Illinois,2020,68428,95115
Illinois,2021,72205,99874
Illinois,2022,76708,106728
Illinois,2023,80306,110930
Illinois,2024,83211,115705
Indiana,2015,50532,67065
Indiana,2016,52314,69612
Indiana,2017,54181,71510
Indiana,2018,55746,73733
Indiana,2019,57603,78064
Indiana,2020,58235,76984
Indiana,2021,62743,82643
Indiana,2022,66785,88805
Indiana,2023,69477,91900
Indiana,2024,71959,95565
Iowa,2015,54736,70036
Iowa,2016,56247,73644
Iowa,2017,58570,75455
Iowa,2018,59955,77173
Iowa,2019,61691,80267
Iowa,2020,61836,80316
Iowa,2021,65600,86499
Iowa,2022,69588,92695
Iowa,2023,71433,93942
Iowa,2024,75501,96497
Kansas,2015,53906,73069
Kansas,2016,54935,73385
Kansas,2017,56422,75822
Kansas,2018,58218,78972
Kansas,2019,62087,82270
Kansas,2020,61091,82103
Kansas,2021,64124,86580
Kansas,2022,68925,93221
Kansas,2023,70333,93781
Kansas,2024,75514,101988
Kentucky,2015,45215,62596
Kentucky,2016,46659,64852
Kentucky,2017,48375,67090
Kentucky,2018,50247,69724
Kentucky,2019,52295,72215
Kentucky,2020,52238,72318
Kentucky,2021,55573,76234
Kentucky,2022,59341,82614
Kentucky,2023,61118,83499
Kentucky,2024,64526,87717
Louisiana,2015,45727,64895
Louisiana,2016,45146,65696
Louisiana,2017,46145,65910
Louisiana,2018,47905,69225
Louisiana,2019,51073,72658
Louisiana,2020,50800,73759
Louisiana,2021,52087,75590
Louisiana,2022,55416,79175
Louisiana,2023,58229,83303
Louisiana,2024,60986,86656
Maine,2015,51494,67135
Maine,2016,53079,70392
Maine,2017,56277,73598
Maine,2018,55602,73935
Maine,2019,58924,78303
Maine,2020,59489,78301
Maine,2021,64767,87756
Maine,2022,69543,93555
Maine,2023,73733,97157
Maine,2024,76442,102734
Maryland,2015,75847,99957
Maryland,2016,78945,102402
Maryland,2017,80776,106035
Maryland,2018,83242,109774
Maryland,2019,86738,114089
Maryland,2020,87063,114236
Maryland,2021,90203,119958
Maryland,2022,94991,125876
Maryland,2023,98678,129366
Maryland,2024,102905,136413
Massachusetts,2015,70628,97586
Massachusetts,2016,75297,101911
Massachusetts,2017,77385,106641
Massachusetts,2018,79835,110501
Massachusetts,2019,85843,117482
Massachusetts,2020,84385,115964
Massachusetts,2021,89645,124789
Massachusetts,2022,94488,133823
Massachusetts,2023,99858,138516
Massachusetts,2024,104828,144312
Michigan,2015,51084,69492
Michigan,2016,52492,72581
Michigan,2017,54909,75449
Michigan,2018,56697,77682
Michigan,2019,59584,80681
Michigan,2020,59234,80803
Michigan,2021,63498,86093
Michigan,2022,66986,91856
Michigan,2023,69183,93806
Michigan,2024,72389,98697
Minnesota,2015,63488,83488
Minnesota,2016,65599,86415
Minnesota,2017,68388,90915
Minnesota,2018,70315,93047
Minnesota,2019,74593,96995
Minnesota,2020,73382,96814
Minnesota,2021,77720,103305
Minnesota,2022,82338,109737
Minnesota,2023,85086,113293
Minnesota,2024,87117,116159
Mississippi,2015,40593,55495
Mississippi,2016,41754,58974
Mississippi,2017,43529,60017
Mississippi,2018,44717,61944
Mississippi,2019,45792,65081
Mississippi,2020,46511,65156
Mississippi,2021,48716,68048
Mississippi,2022,52719,72624
Mississippi,2023,54203,76305
Mississippi,2024,59127,80847
Missouri,2015,50238,68065
Missouri,2016,51746,70871
Missouri,2017,53578,72959
Missouri,2018,54478,75013
Missouri,2019,57409,77885
Missouri,2020,57290,78194
Missouri,2021,61847,84920
Missouri,2022,64811,88586
Missouri,2023,68545,93074
Missouri,2024,71589,96920
Montana,2015,49509,66110
Montana,2016,50027,69308
Montana,2017,53386,70994
Montana,2018,55328,72648
Montana,2019,57153,77320
