state,year,avg_home_price
Alabama,2015,135525
Alabama,2016,140408
Alabama,2017,144480
Alabama,2018,150240
Alabama,2019,158587
Alabama,2020,171352
Alabama,2021,194851
Alabama,2022,219250
Alabama,2023,224998
Alabama,2024,229016
Alabama,2025,231181
Alaska,2015,270748
Alaska,2016,277431
Alaska,2017,279652
Alaska,2018,283827
Alaska,2019,301062
Alaska,2020,312034
Alaska,2021,328162
Alaska,2022,350551
Alaska,2023,353905
Alaska,2024,359501
Alaska,2025,368893
Arizona,2015,201866
Arizona,2016,218705
Arizona,2017,233602
Arizona,2018,251445
Arizona,2019,268578
Arizona,2020,294752
Arizona,2021,364517
Arizona,2022,440234
Arizona,2023,421902
Arizona,2024,431879
Arizona,2025,422798
Arkansas,2015,129304
Arkansas,2016,135529
Arkansas,2017,140035
Arkansas,2018,145283
Arkansas,2019,150993
Arkansas,2020,160126
Arkansas,2021,180726
Arkansas,2022,201888
Arkansas,2023,206863
Arkansas,2024,213330
Arkansas,2025,216814
California,2015,408952
California,2016,436309
California,2017,472220
California,2018,517268
California,2019,532165
California,2020,558362
California,2021,645600
California,2022,733067
California,2023,723586
California,2024,761153
California,2025,760038
Colorado,2015,283590
Colorado,2016,316013
Colorado,2017,344897
Colorado,2018,370655
Colorado,2019,388505
Colorado,2020,410247
Colorado,2021,473941
Colorado,2022,544690
Colorado,2023,534440
Colorado,2024,540826
Colorado,2025,534806
Connecticut,2015,236705
Connecticut,2016,239571
Connecticut,2017,245259
Connecticut,2018,250938
Connecticut,2019,254157
Connecticut,2020,265565
Connecticut,2021,305223
Connecticut,2022,340054
Connecticut,2023,365199
Connecticut,2024,399405
Connecticut,2025,416183
Delaware,2015,236840
Delaware,2016,247705
Delaware,2017,257962
Delaware,2018,264922
Delaware,2019,272356
Delaware,2020,282190
Delaware,2021,323831
Delaware,2022,360950
Delaware,2023,375211
Delaware,2024,387883
Delaware,2025,396148
District of Columbia,2015,475437
District of Columbia,2016,500534
District of Columbia,2017,521369
District of Columbia,2018,548965
District of Columbia,2019,564397
District of Columbia,2020,588334
District of Columbia,2021,622600
District of Columbia,2022,634481
District of Columbia,2023,611063
District of Columbia,2024,599051
District of Columbia,2025,580227
Florida,2015,180821
Florida,2016,197980
Florida,2017,213993
Florida,2018,230295
Florida,2019,242303
Florida,2020,256632
Florida,2021,298972
Florida,2022,373588
Florida,2023,390080
Florida,2024,396506
Florida,2025,381365
Georgia,2015,154886
Georgia,2016,165137
Georgia,2017,175756
Georgia,2018,190942
Georgia,2019,205012
Georgia,2020,220109
Georgia,2021,260067
Georgia,2022,313205
Georgia,2023,323015
Georgia,2024,334201
Georgia,2025,330554
Hawaii,2015,504416
Hawaii,2016,533760
Hawaii,2017,564578
Hawaii,2018,592890
Hawaii,2019,603602
Hawaii,2020,619851
Hawaii,2021,693759
Hawaii,2022,817938
Hawaii,2023,821038
Hawaii,2024,835063
Hawaii,2025,823498
Idaho,2015,186515
Idaho,2016,202104
Idaho,2017,220430
Idaho,2018,245881
Idaho,2019,274927
Idaho,2020,312471
Idaho,2021,416482
Idaho,2022,475901
Idaho,2023,446578
Idaho,2024,454535
Idaho,2025,460373
Illinois,2015,163093
Illinois,2016,171147
Illinois,2017,179061
Illinois,2018,187019
Illinois,2019,192027
Illinois,2020,198629
Illinois,2021,219388
Illinois,2022,240076
Illinois,2023,247308
Illinois,2024,262589
Illinois,2025,273277
Indiana,2015,122136
Indiana,2016,127985
Indiana,2017,135253
Indiana,2018,144941
Indiana,2019,154934
Indiana,2020,166800
Indiana,2021,191885
Indiana,2022,217683
Indiana,2023,226804
Indiana,2024,237666
Indiana,2025,246071
Iowa,2015,133534
Iowa,2016,139953
Iowa,2017,144435
Iowa,2018,150418
Iowa,2019,157927
Iowa,2020,165512
Iowa,2021,180970
Iowa,2022,200187
Iowa,2023,207824
Iowa,2024,215831
Iowa,2025,223635
Kansas,2015,126557
Kansas,2016,132104
Kansas,2017,137007
Kansas,2018,143717
Kansas,2019,150762
Kansas,2020,162213
Kansas,2021,182234
Kansas,2022,204766
Kansas,2023,215403
Kansas,2024,226274
Kansas,2025,234229
Kentucky,2015,118616
Kentucky,2016,124442
Kentucky,2017,130878
Kentucky,2018,138689
Kentucky,2019,146524
Kentucky,2020,157311
Kentucky,2021,177834
Kentucky,2022,197197
Kentucky,2023,206512
Kentucky,2024,215940
Kentucky,2025,227259
Louisiana,2015,174345
Louisiana,2016,180339
Louisiana,2017,179508
Louisiana,2018,182061
Louisiana,2019,188052
Louisiana,2020,197291
Louisiana,2021,207414
Louisiana,2022,218752
Louisiana,2023,214013
Louisiana,2024,209321
Louisiana,2025,208421
Maine,2015,185466
Maine,2016,195063
Maine,2017,207979
Maine,2018,221781
Maine,2019,232639
Maine,2020,253594
Maine,2021,306245
Maine,2022,352340
Maine,2023,373637
Maine,2024,395805
Maine,2025,400830
Maryland,2015,272397
Maryland,2016,280333
Maryland,2017,290434
Maryland,2018,300666
Maryland,2019,311069
Maryland,2020,325781
Maryland,2021,364079
Maryland,2022,391435
Maryland,2023,400553
Maryland,2024,413743
Maryland,2025,421910
Massachusetts,2015,340095
Massachusetts,2016,361795
Massachusetts,2017,385902
Massachusetts,2018,410058
Massachusetts,2019,421594
Massachusetts,2020,443206
Massachusetts,2021,504681
Massachusetts,2022,556734
Massachusetts,2023,578308
Massachusetts,2024,619878
Massachusetts,2025,635351
Michigan,2015,125659
Michigan,2016,134676
Michigan,2017,144816
Michigan,2018,156078
Michigan,2019,165881
Michigan,2020,176545
Michigan,2021,202532
Michigan,2022,223274
Michigan,2023,228977
Michigan,2024,240448
Michigan,2025,248303
Minnesota,2015,192388
Minnesota,2016,205209
Minnesota,2017,219500
Minnesota,2018,234372
Minnesota,2019,246682
Minnesota,2020,260631
Minnesota,2021,292434
Minnesota,2022,318312
Minnesota,2023,320705
Minnesota,2024,326650
Minnesota,2025,334091
Mississippi,2015,127761
Mississippi,2016,133358
Mississippi,2017,135272
Mississippi,2018,138486
Mississippi,2019,143401
Mississippi,2020,150376
Mississippi,2021,167806
Mississippi,2022,184702
Mississippi,2023,183496
Mississippi,2024,186260
Mississippi,2025,189417
Missouri,2015,133998
Missouri,2016,141365
Missouri,2017,149142
Missouri,2018,157558
Missouri,2019,165468
Missouri,2020,176628
Missouri,2021,202720
Missouri,2022,228675
Missouri,2023,237577
Missouri,2024,247051
Missouri,2025,253684
Montana,2015,212560
Montana,2016,224141
Montana,2017,234678
Montana,2018,248809
Montana,2019,262121
Montana,2020,283492
Montana,2021,353154
Montana,2022,426862
Montana,2023,428427
Montana,2024,444965
Montana,2025,453345
Nebraska,2015,140932
Nebraska,2016,149083
Nebraska,2017,157252
